2024-03-01 13:42:24,776 INFO    MainThread:332444 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_setup.py:_flush():76] Configure stats pid to 332444
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_setup.py:_flush():76] Loading settings from /home/cal314-1/.config/wandb/settings
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_setup.py:_flush():76] Loading settings from /media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/wandb/settings
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Kod/inference.py', 'program_abspath': '/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Kod/inference.py', 'program': '/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Kod/inference.py'}
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_init.py:_log_setup():526] Logging user logs to /media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/wandb/run-20240301_134224-t930xcht/logs/debug.log
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_init.py:_log_setup():527] Logging internal logs to /media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/wandb/run-20240301_134224-t930xcht/logs/debug-internal.log
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_init.py:init():566] calling init triggers
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'model': 'smpUNet++', 'batch_size': 1, 'annotator': 1, 'place': 'lab', 'mode': 'normal'}
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_init.py:init():616] starting backend
2024-03-01 13:42:24,777 INFO    MainThread:332444 [wandb_init.py:init():620] setting up manager
2024-03-01 13:42:24,782 INFO    MainThread:332444 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-01 13:42:24,783 INFO    MainThread:332444 [wandb_init.py:init():628] backend started and connected
2024-03-01 13:42:24,790 INFO    MainThread:332444 [wandb_init.py:init():720] updated telemetry
2024-03-01 13:42:24,797 INFO    MainThread:332444 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-01 13:42:25,378 INFO    MainThread:332444 [wandb_run.py:_on_init():2262] communicating current version
2024-03-01 13:42:25,514 INFO    MainThread:332444 [wandb_run.py:_on_init():2271] got version response 
2024-03-01 13:42:25,514 INFO    MainThread:332444 [wandb_init.py:init():804] starting run threads in backend
2024-03-01 13:42:27,540 INFO    MainThread:332444 [wandb_run.py:_console_start():2241] atexit reg
2024-03-01 13:42:27,540 INFO    MainThread:332444 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-01 13:42:27,541 INFO    MainThread:332444 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-01 13:42:27,541 INFO    MainThread:332444 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-01 13:42:27,541 INFO    MainThread:332444 [wandb_init.py:init():847] run started, returning control to user process
2024-03-01 13:42:54,742 WARNING MsgRouterThr:332444 [router.py:message_loop():77] message_loop has been closed
